issue_id,dossier,procedure,n_actors,outcome,reference_point,challenge_forecast,compromise_forecast,challenge_ae,compromise_ae,paired_diff_challenge_minus_compromise,winner
n04164i4,CAPfin,CNS,25,100.0,100.0,50.0,67.371,50.0,32.629,17.371,compromise
n04164i5,CAPfin,CNS,27,0.0,,0.0,15.274,0.0,15.274,-15.274,challenge
n04169i1,EFishF,CNS,24,0.0,0.0,60.0,49.817,60.0,49.817,10.183,compromise
n04169i2,EFishF,CNS,23,50.0,100.0,30.0,34.951,20.0,15.049,4.951,compromise
n04169i3,EFishF,CNS,23,60.0,0.0,3.416,23.358,56.584,36.642,19.942,compromise
n04169i4,EFishF,CNS,23,95.0,0.0,80.0,69.374,15.0,25.626,-10.626,challenge
n05099i1,broilers,CNS,25,70.0,0.0,75.0,53.443,5.0,16.557,-11.557,challenge
n05099i2,broilers,CNS,27,0.0,0.0,7.955,33.811,7.955,33.811,-25.856,challenge
n05118i1,sugar,CNS,27,28.0,100.0,40.0,47.684,12.0,19.684,-7.684,challenge
n05118i2,sugar,CNS,22,0.0,,0.0,37.148,0.0,37.148,-37.148,challenge
n05118i3,sugar,CNS,25,64.0,100.0,80.0,75.443,16.0,11.443,4.557,compromise
d06132i1,pesticides,COD,29,50.0,,50.0,47.999,0.0,2.001,-2.001,challenge
d06132i2,pesticides,COD,29,0.0,,0.0,18.621,0.0,18.621,-18.621,challenge
d06196i1,post,COD,29,100.0,0.0,33.0,63.551,67.0,36.449,30.551,compromise
d06196i2,post,COD,29,60.0,,100.0,40.998,40.0,19.002,20.998,compromise
n07026i1,milk,CNS,28,0.0,100.0,0.0,16.645,0.0,16.645,-16.645,challenge
n07026i2,milk,CNS,28,50.0,100.0,100.0,74.973,50.0,24.973,25.027,compromise
d07035i1,mergers,COD,29,10.0,100.0,0.0,27.218,10.0,17.218,-7.218,challenge
n07045i1,CAPfin,CNS,29,0.0,,99.23,47.165,99.23,47.165,52.065,compromise
n07045i2,CAPfin,CNS,28,0.0,,0.0,50.736,0.0,50.736,-50.736,challenge
n08104i1,CAPreform,CNS,29,40.0,0.0,40.0,40.232,0.0,0.232,-0.232,challenge
n08104i2,CAPreform,CNS,27,70.0,0.0,45.482,41.76,24.518,28.24,-3.722,challenge
n08105i1,EAFRD,CNS,29,80.0,0.0,80.0,55.783,0.0,24.217,-24.217,challenge
n08143i1,VAT,CNS,29,100.0,0.0,100.0,71.392,0.0,28.608,-28.608,challenge
n08143i2,VAT,CNS,29,100.0,0.0,100.0,72.626,0.0,27.374,-27.374,challenge
n08143i3,VAT,CNS,29,80.0,0.0,100.0,70.383,20.0,9.617,10.383,compromise
n05124i1,rightsag,CNS,27,70.0,,62.645,42.754,7.355,27.246,-19.891,challenge
n05124i2,rightsag,CNS,27,0.0,,88.235,72.831,88.235,72.831,15.404,compromise
d05167i1,illegals,COD,21,90.0,,0.0,63.4,90.0,26.6,63.4,compromise
d05167i2,illegals,COD,23,70.0,,26.185,64.275,43.815,5.725,38.089,compromise
d05167i3,illegals,COD,18,30.0,,88.674,50.452,58.674,20.452,38.222,compromise
d05167i5,illegals,COD,24,70.0,,80.0,46.267,10.0,23.733,-13.733,challenge
d05283i1,vehicles,COD,27,60.0,0.0,60.0,68.742,0.0,8.742,-8.742,challenge
d05283i2,vehicles,COD,27,80.0,0.0,100.0,83.525,20.0,3.525,16.475,compromise
d05283i3,vehicles,COD,27,90.0,0.0,70.0,53.003,20.0,36.997,-16.997,challenge
d06129i1,water,COD,29,0.0,0.0,18.493,23.771,18.493,23.771,-5.278,challenge
d06129i2,water,COD,29,20.0,0.0,21.742,30.023,1.742,10.023,-8.28,challenge
d06129i3,water,COD,29,50.0,0.0,0.0,21.678,50.0,28.322,21.678,compromise
d06129i4,water,COD,29,80.0,,80.0,62.295,0.0,17.705,-17.705,challenge
d06140i1,RABIT,COD,24,70.0,0.0,100.0,71.7,30.0,1.7,28.3,compromise
d06272i1,rail,COD,27,90.0,0.0,23.691,44.155,66.309,45.845,20.464,compromise
d06304i1,emissions,COD,29,90.0,,90.0,63.136,0.0,26.864,-26.864,challenge
d06304i2,emissions,COD,29,30.0,0.0,20.0,31.416,10.0,1.416,8.584,compromise
d06304i3,emissions,COD,29,50.0,,100.0,51.03,50.0,1.03,48.97,compromise
d06304i4,emissions,COD,29,66.0,,86.714,69.596,20.714,3.596,17.118,compromise
d07013i1,charges,COD,29,30.0,,30.0,37.556,0.0,7.556,-7.556,challenge
d07013i2,charges,COD,29,30.0,0.0,29.049,40.501,0.951,10.501,-9.55,challenge
d07013i3,charges,COD,29,50.0,,35.278,39.186,14.722,10.814,3.908,compromise
d07013i4,charges,COD,29,0.0,,46.971,32.911,46.971,32.911,14.06,compromise
d07013i5,charges,COD,29,0.0,0.0,10.387,31.596,10.387,31.596,-21.209,challenge
d07297i1,carems,COD,19,0.0,,0.0,45.203,0.0,45.203,-45.203,challenge
d07297i2,carems,COD,29,60.0,,100.0,61.875,40.0,1.875,38.125,compromise
d07297i3,carems,COD,23,100.0,0.0,100.0,50.287,0.0,49.713,-49.713,challenge
d07297i4,carems,COD,20,0.0,,39.048,36.971,39.048,36.971,2.077,compromise
d07297i5,carems,COD,17,30.0,,30.0,57.956,0.0,27.956,-27.956,challenge
d06031i1,weapons,COD,27,60.0,0.0,49.004,47.752,10.996,12.248,-1.252,challenge
d06031i2,weapons,COD,27,80.0,0.0,50.0,32.884,30.0,47.116,-17.116,challenge
d04287i1,vis,COD,29,100.0,0.0,80.0,78.122,20.0,21.878,-1.878,challenge
d04287i2,vis,COD,29,0.0,0.0,50.0,54.9,50.0,54.9,-4.9,challenge
d04287i3,vis,COD,5,0.0,0.0,100.0,43.012,100.0,43.012,56.988,compromise
d04287i4,vis,COD,29,40.0,,66.675,56.13,26.675,16.13,10.546,compromise
d04287i5,vis,COD,29,50.0,,100.0,90.529,50.0,40.529,9.471,compromise
d05246i1,custom,COD,29,75.0,0.0,100.0,60.55,25.0,14.45,10.55,compromise
d05246i2,custom,COD,27,0.0,0.0,15.0,29.028,15.0,29.028,-14.028,challenge
d05246i3,custom,COD,10,75.0,0.0,100.0,82.952,25.0,7.952,17.048,compromise
d05246i4,custom,COD,29,100.0,0.0,0.0,20.181,100.0,79.819,20.181,compromise
d05246i5,custom,COD,29,100.0,0.0,100.0,80.743,0.0,19.257,-19.257,challenge
d05246i6,custom,COD,29,100.0,0.0,100.0,64.547,0.0,35.453,-35.453,challenge
n07138i1,wine,CNS,29,20.0,100.0,10.0,28.526,10.0,8.526,1.474,compromise
n07138i2,wine,CNS,29,40.0,0.0,50.0,50.801,10.0,10.801,-0.801,challenge
n07138i3,wine,CNS,29,10.0,0.0,36.287,38.957,26.287,28.957,-2.67,challenge
n07242i1,cotton,CNS,26,50.0,0.0,44.614,43.761,5.386,6.239,-0.852,challenge
d04156i1,Galileo,COD,22,45.0,,60.226,51.854,15.226,6.854,8.372,compromise
d04156i2,Galileo,COD,24,67.0,,0.0,29.397,67.0,37.603,29.397,compromise
d04156i3,Galileo,COD,29,60.0,,40.0,46.159,20.0,13.841,6.159,compromise
d06273i1,rail,COD,12,35.0,0.0,40.0,31.544,5.0,3.456,1.544,compromise
d06130i1,airtrans,COD,6,83.0,0.0,83.0,67.231,0.0,15.769,-15.769,challenge
d06130i2,airtrans,COD,11,50.0,0.0,80.0,58.116,30.0,8.116,21.884,compromise
d06130i3,airtrans,COD,13,0.0,0.0,0.0,26.42,0.0,26.42,-26.42,challenge
d06130i4,airtrans,COD,10,50.0,0.0,70.0,55.48,20.0,5.48,14.52,compromise
d06206i1,mercury,COD,9,76.0,0.0,100.0,88.485,24.0,12.485,11.515,compromise
d06206i2,mercury,COD,17,77.0,0.0,85.0,75.899,8.0,1.101,6.899,compromise
d06206i3,mercury,COD,9,83.0,0.0,100.0,58.254,17.0,24.746,-7.746,challenge
d06206i4,mercury,COD,19,50.0,,100.0,85.808,50.0,35.808,14.192,compromise
n07114i1,fishauth,CNS,15,0.0,0.0,100.0,51.718,100.0,51.718,48.282,compromise
n07114i2,fishauth,CNS,7,50.0,0.0,3.938,20.863,46.062,29.137,16.925,compromise
n07114i3,fishauth,CNS,10,0.0,0.0,0.0,11.548,0.0,11.548,-11.548,challenge
n07223i1,illfish,CNS,17,45.0,,0.0,16.875,45.0,28.125,16.875,compromise
n07223i2,illfish,CNS,19,50.0,0.0,0.0,14.825,50.0,35.175,14.825,compromise
n07223i3,illfish,CNS,22,70.0,0.0,40.372,40.656,29.628,29.344,0.284,compromise
n07223i4,illfish,CNS,21,70.0,,100.0,78.804,30.0,8.804,21.196,compromise
n07224i1,botfish,CNS,11,0.0,0.0,80.0,52.656,80.0,52.656,27.344,compromise
n07224i2,botfish,CNS,7,100.0,0.0,90.794,48.906,9.206,51.094,-41.888,challenge
n08093i1,Mauritania,CNS,12,80.0,0.0,50.0,50.778,30.0,29.222,0.778,compromise
d07249i1,markauthor,COD,7,0.0,0.0,40.0,55.919,40.0,55.919,-15.919,challenge
d07291i1,infoagency,COD,27,58.0,0.0,58.0,55.15,0.0,2.85,-2.85,challenge
d07028i1,marketing,COD,9,38.0,0.0,81.0,62.469,43.0,24.469,18.531,compromise
d07028i2,marketing,COD,5,21.0,0.0,53.0,50.708,32.0,29.708,2.292,compromise
d07028i3,marketing,COD,29,95.0,30.0,43.067,31.743,51.933,63.257,-11.324,challenge
d07028i4,marketing,COD,29,70.0,30.0,30.0,27.35,40.0,42.65,-2.65,challenge
d05211i1,marine,COD,12,25.0,,54.58,46.544,29.58,21.544,8.036,compromise
d05211i2,marine,COD,14,50.0,,93.323,76.675,43.323,26.675,16.648,compromise
d160280i1,Copyright,COD,30,50.0,,40.0,56.916,10.0,6.916,3.084,compromise
d160280i2,Copyright,COD,30,80.0,,100.0,69.45,20.0,10.55,9.45,compromise
d170228i1,Free flow,COD,30,70.0,,32.054,60.719,37.946,9.281,28.666,compromise
d160288i1,Code,COD,30,0.0,0.0,0.0,19.759,0.0,19.759,-19.759,challenge
d160288i2,Code,COD,30,60.0,0.0,100.0,67.659,40.0,7.659,32.341,compromise
d160288i3,Code,COD,30,60.0,0.0,100.0,65.565,40.0,5.565,34.435,compromise
d120193i1,PIF,COD,20,70.0,0.0,100.0,68.526,30.0,1.474,28.526,compromise
d170226i1,Non-cash,COD,27,0.0,0.0,100.0,67.922,100.0,67.922,32.078,compromise
d160231i1,Effort-sharing,COD,30,70.0,,100.0,39.538,30.0,30.462,-0.462,challenge
d160231i2,Effort-sharing,COD,26,70.0,,100.0,71.263,30.0,1.263,28.737,compromise
d160231i3,Effort-sharing,COD,29,85.0,,100.0,58.05,15.0,26.95,-11.95,challenge
d160231i4,Effort-sharing,COD,28,70.0,,50.0,41.137,20.0,28.863,-8.863,challenge
d130443i1,NEC,COD,30,70.0,,77.714,73.647,7.714,3.647,4.068,compromise
d120266i1,Medical devices ,COD,29,70.0,,70.0,67.289,0.0,2.711,-2.711,challenge
d120266i2,Medical devices ,COD,29,50.0,,70.0,57.314,20.0,7.314,12.686,compromise
